route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_11970056,"KOSZAROWA (Szpital)",1,826263,23,1,826263
A,3,3_11970107,"KOSZAROWA (Szpital)",1,826263,21,1,826263
A,3,3_11970156,"KOSZAROWA (Szpital)",1,826263,22,1,826263
A,3,3_11970287,"KOSZAROWA (Szpital)",1,826263,2,1,826263
A,3,3_11970300,"Zajezdnia Obornicka",0,830361,2,1,830361
A,3,3_11970315,"Zajezdnia Obornicka",0,830361,3,1,830361
A,3,3_11970346,"Zajezdnia Obornicka",0,830361,5,1,830361
A,3,3_11970158,"KOSZAROWA (Szpital)",1,830925,22,1,830925
A,3,3_11970271,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11970273,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11970275,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11970277,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11970279,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11970281,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11970283,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11970289,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11970291,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11970293,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11970295,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11970297,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11970299,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11970302,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11970304,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11970306,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11970308,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11970310,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11970312,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11970314,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11970317,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11970319,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11970321,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11970323,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11970325,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11970327,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11970329,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11970333,"KOSZAROWA (Szpital)",1,830925,5,1,830925
A,3,3_11970335,"KOSZAROWA (Szpital)",1,830925,5,1,830925
A,3,3_11970337,"KOSZAROWA (Szpital)",1,830925,5,1,830925
A,3,3_11970339,"KOSZAROWA (Szpital)",1,830925,5,1,830925
A,3,3_11970341,"KOSZAROWA (Szpital)",1,830925,5,1,830925
A,3,3_11970343,"KOSZAROWA (Szpital)",1,830925,5,1,830925
A,3,3_11970345,"KOSZAROWA (Szpital)",1,830925,5,1,830925
A,3,3_11970057,"KRZYKI",0,830926,23,1,830926
A,3,3_11970157,"KRZYKI",0,830926,22,1,830926
A,3,3_11970272,"KRZYKI",0,830926,1,2,830926
A,3,3_11970274,"KRZYKI",0,830926,1,2,830926
A,3,3_11970276,"KRZYKI",0,830926,1,2,830926
A,3,3_11970278,"KRZYKI",0,830926,1,2,830926
A,3,3_11970280,"KRZYKI",0,830926,1,2,830926
A,3,3_11970282,"KRZYKI",0,830926,1,2,830926
A,3,3_11970284,"KRZYKI",0,830926,1,2,830926
A,3,3_11970288,"KRZYKI",0,830926,2,1,830926
A,3,3_11970290,"KRZYKI",0,830926,2,1,830926
A,3,3_11970292,"KRZYKI",0,830926,2,1,830926
A,3,3_11970294,"KRZYKI",0,830926,2,1,830926
A,3,3_11970296,"KRZYKI",0,830926,2,1,830926
A,3,3_11970298,"KRZYKI",0,830926,2,1,830926
A,3,3_11970303,"KRZYKI",0,830926,3,1,830926
A,3,3_11970305,"KRZYKI",0,830926,3,1,830926
A,3,3_11970307,"KRZYKI",0,830926,3,1,830926
A,3,3_11970309,"KRZYKI",0,830926,3,1,830926
A,3,3_11970311,"KRZYKI",0,830926,3,1,830926
A,3,3_11970313,"KRZYKI",0,830926,3,1,830926
A,3,3_11970318,"KRZYKI",0,830926,4,1,830926
A,3,3_11970320,"KRZYKI",0,830926,4,1,830926
A,3,3_11970322,"KRZYKI",0,830926,4,1,830926
A,3,3_11970324,"KRZYKI",0,830926,4,1,830926
A,3,3_11970326,"KRZYKI",0,830926,4,1,830926
A,3,3_11970328,"KRZYKI",0,830926,4,1,830926
A,3,3_11970330,"KRZYKI",0,830926,4,1,830926
A,3,3_11970334,"KRZYKI",0,830926,5,1,830926
A,3,3_11970336,"KRZYKI",0,830926,5,1,830926
A,3,3_11970338,"KRZYKI",0,830926,5,1,830926
A,3,3_11970340,"KRZYKI",0,830926,5,1,830926
A,3,3_11970342,"KRZYKI",0,830926,5,1,830926
A,3,3_11970344,"KRZYKI",0,830926,5,1,830926
A,3,3_11970108,"KRZYKI",0,830950,21,1,830950
A,3,3_11970058,"SOŁTYSOWICE",1,830951,23,1,830951
